Number	Branch Ratio	Output Phase	Output Branch Ratio	Relative Difference(%)
0	0.10	-1.68099+/-4.39007	0.124579+/-0.00187989	0.24579
1	0.10	-1.69543+/-4.92797	0.12238+/-0.00183303	0.2238
2	0.10	-1.66121+/-3.91482	0.127724+/-0.00196155	0.27724
3	0.10	-1.67511+/-4.6434	0.125508+/-0.00187885	0.25508
4	0.10	-1.67676+/-4.24101	0.125234+/-0.00189804	0.25234
5	0.10	-1.68755+/-4.53295	0.123579+/-0.00185879	0.23579
6	0.10	-1.68361+/-4.84422	0.12415+/-0.00185684	0.2415
7	0.10	-1.70842+/-6.64976	0.12045+/-0.00183222	0.2045
8	0.10	-1.67805+/-4.18538	0.125035+/-0.00190072	0.25035
9	0.10	-1.69677+/-5.42757	0.12246+/-0.00183123	0.2246
10	0.10	-1.71492+/-9.1012	0.119473+/-0.00194255	0.19473
11	0.10	-1.68327+/-4.53773	0.124229+/-0.0018651	0.24229
12	0.10	-1.71417+/-8.54885	0.119312+/-0.00190809	0.19312
13	0.10	-1.6782+/-4.20696	0.124997+/-0.00189771	0.24997
14	0.10	-1.69468+/-4.92966	0.122491+/-0.00183438	0.22491
15	0.10	-1.68684+/-4.76803	0.123687+/-0.00185318	0.23687
16	0.10	-1.67488+/-4.1141	0.125785+/-0.00191596	0.25785
17	0.10	-1.67342+/-4.57487	0.12574+/-0.00188636	0.2574
18	0.10	-1.69344+/-5.47618	0.122681+/-0.00183459	0.22681
19	0.10	-1.68735+/-4.19412	0.123617+/-0.00188035	0.23617
20	0.10	-1.70926+/-5.68262	0.120352+/-0.00185042	0.20352
21	0.10	-1.68542+/-4.73887	0.123909+/-0.00185651	0.23909
22	0.10	-1.68766+/-4.60903	0.12356+/-0.0018532	0.2356
23	0.10	-1.67044+/-4.1113	0.126558+/-0.00192573	0.26558
24	0.10	-1.69498+/-4.72628	0.122453+/-0.00183857	0.22453
25	0.10	-1.67715+/-4.22426	0.125175+/-0.00189859	0.25175
26	0.10	-1.68148+/-4.44967	0.124216+/-0.00187207	0.24216
27	0.10	-1.681+/-4.26775	0.124583+/-0.00188789	0.24583
28	0.10	-1.71585+/-8.88797	0.119343+/-0.00192797	0.19343
29	0.10	-1.67778+/-4.14669	0.125055+/-0.00190348	0.25055
30	0.10	-1.68624+/-5.09762	0.123836+/-0.00184893	0.23836
31	0.10	-1.69862+/-5.39693	0.121883+/-0.00182389	0.21883
32	0.10	-1.70595+/-6.11946	0.120835+/-0.00182169	0.20835
33	0.10	-1.68222+/-4.52402	0.124388+/-0.00187488	0.24388
34	0.10	-1.69531+/-4.98514	0.122422+/-0.00183277	0.22422
35	0.10	-1.68652+/-4.36881	0.12374+/-0.00187063	0.2374
36	0.10	-1.70091+/-5.06586	0.121606+/-0.00182161	0.21606
37	0.10	-1.70428+/-5.20803	0.121074+/-0.00181381	0.21074
38	0.10	-1.67456+/-4.66261	0.125202+/-0.00187531	0.25202
39	0.10	-1.69481+/-4.77567	0.122473+/-0.00183687	0.22473
40	0.10	-1.68645+/-5.1815	0.123728+/-0.00184496	0.23728
41	0.10	-1.67419+/-4.21295	0.125617+/-0.00190502	0.25617
42	0.10	-1.71597+/-5.57685	0.119716+/-0.00179835	0.19716
43	0.10	-1.70473+/-6.40735	0.120969+/-0.00183108	0.20969
44	0.10	-1.68479+/-4.68626	0.123991+/-0.00185605	0.23991
45	0.10	-1.69024+/-4.90494	0.123142+/-0.00184332	0.23142
46	0.10	-1.67692+/-4.26371	0.125209+/-0.00189604	0.25209
47	0.10	-1.72148+/-7.07821	0.118622+/-0.00182593	0.18622
48	0.10	-1.66968+/-4.01396	0.126296+/-0.00193223	0.26296
49	0.10	-1.66825+/-4.27922	0.126554+/-0.00191178	0.26554
50	0.10	-1.71146+/-6.02711	0.120041+/-0.00180967	0.20041
51	0.10	-1.72384+/-7.19149	0.118185+/-0.00182543	0.18185
52	0.10	-1.71454+/-9.56868	0.119525+/-0.00197278	0.19525
53	0.10	-1.67938+/-4.5478	0.124822+/-0.00187669	0.24822
54	0.10	-1.67869+/-4.39826	0.124892+/-0.00188333	0.24892
55	0.10	-1.69371+/-4.98703	0.122806+/-0.00183605	0.22806
56	0.10	-1.68401+/-4.49187	0.12411+/-0.00186862	0.2411
57	0.10	-1.68022+/-4.3958	0.124682+/-0.00188086	0.24682
58	0.10	-1.67738+/-4.70053	0.125124+/-0.0018728	0.25124
59	0.10	-1.67881+/-4.11558	0.125108+/-0.00190717	0.25108
60	0.10	-1.6623+/-3.81903	0.127531+/-0.00197285	0.27531
61	0.10	-1.68412+/-4.70955	0.124091+/-0.00185872	0.24091
62	0.10	-1.69853+/-5.15453	0.122005+/-0.00182571	0.22005
63	0.10	-1.68695+/-4.82925	0.12365+/-0.00185102	0.2365
64	0.10	-1.68038+/-3.98067	0.124678+/-0.00191493	0.24678
65	0.10	-1.6958+/-5.46464	0.122327+/-0.00182612	0.22327
66	0.10	-1.69132+/-4.85592	0.122999+/-0.00184216	0.22999
67	0.10	-1.67655+/-4.19583	0.125251+/-0.00190178	0.25251
